11:27:56.827 [ApplicationImpl pooled thread 14] INFO  c.b.s.l.BrowserStackRunExtension - maven
11:27:56.831 [ApplicationImpl pooled thread 14] INFO  com.browserstack.sdk.utils.Helpers - null
11:34:35.187 [AWT-EventQueue-0] INFO  c.b.sdk.actions.DisableBrowserStack - Setting disable browserstack run update
11:34:35.203 [AWT-EventQueue-0] INFO  c.b.sdk.actions.EnableBrowserStack - Setting enable browserstack run update
11:44:48.488 [ApplicationImpl pooled thread 16] INFO  c.b.s.l.BrowserStackRunExtension - testng
11:44:48.488 [ApplicationImpl pooled thread 16] INFO  com.browserstack.sdk.utils.Helpers - null
11:44:48.492 [ApplicationImpl pooled thread 16] INFO  c.b.s.l.BrowserStackRunExtension - Agent path: null
11:46:34.837 [ApplicationImpl pooled thread 16] INFO  c.b.s.l.BrowserStackRunExtension - application
11:46:34.837 [ApplicationImpl pooled thread 16] INFO  com.browserstack.sdk.utils.Helpers - null
11:47:46.058 [ApplicationImpl pooled thread 28] INFO  c.b.s.l.BrowserStackRunExtension - testng
11:47:46.059 [ApplicationImpl pooled thread 28] INFO  com.browserstack.sdk.utils.Helpers - null
11:47:46.062 [ApplicationImpl pooled thread 28] INFO  c.b.s.l.BrowserStackRunExtension - Agent path: null
11:49:38.271 [ApplicationImpl pooled thread 31] INFO  c.b.s.l.BrowserStackRunExtension - testng
11:49:38.272 [ApplicationImpl pooled thread 31] INFO  com.browserstack.sdk.utils.Helpers - null
11:49:38.272 [ApplicationImpl pooled thread 31] INFO  c.b.s.l.BrowserStackRunExtension - Agent path: null
11:51:00.693 [ApplicationImpl pooled thread 33] INFO  c.b.s.l.BrowserStackRunExtension - testng
11:51:00.693 [ApplicationImpl pooled thread 33] INFO  com.browserstack.sdk.utils.Helpers - null
11:51:00.695 [ApplicationImpl pooled thread 33] INFO  c.b.s.l.BrowserStackRunExtension - Agent path: null
11:54:58.779 [ApplicationImpl pooled thread 32] INFO  c.b.s.l.BrowserStackRunExtension - testng
11:54:58.781 [ApplicationImpl pooled thread 32] INFO  com.browserstack.sdk.utils.Helpers - null
11:54:58.782 [ApplicationImpl pooled thread 32] INFO  c.b.s.l.BrowserStackRunExtension - Agent path: null
11:56:59.957 [ApplicationImpl pooled thread 38] INFO  c.b.s.l.BrowserStackRunExtension - testng
11:56:59.957 [ApplicationImpl pooled thread 38] INFO  com.browserstack.sdk.utils.Helpers - null
11:56:59.958 [ApplicationImpl pooled thread 38] INFO  c.b.s.l.BrowserStackRunExtension - Agent path: null
